Pixel-X	Pixel-Y	Longitude	Latitude	radiance_1	radiance_2	radiance_3	radiance_4	radiance_5	radiance_6	radiance_7	radiance_8	radiance_9	radiance_10	radiance_11	radiance_12	radiance_13	radiance_14	radiance_15	l1_flags	detector_index	latitude	longitude	dem_alt	dem_rough	lat_corr	lon_corr	sun_zenith	sun_azimuth	view_zenith	view_azimuth	zonal_wind	merid_wind	atm_press	ozone	rel_hum
506.5	251.5	-57.292355	12.268241	67.15766	57.608692	40.76526	32.748672	20.198023	12.1348	9.292837	8.332503	6.9146338	5.354744	2.457807	4.479012	2.8079298	2.6062868	1.9604318	0	514	12.268241	-57.292355	-4492.1953	0.0	0.0	0.0	44.865875	142.62251	4.589347	102.45638	-7.53125	-4.2570314	1015.257	238.94008	61.35547
507.5	251.5	-57.28302	12.266216	67.23346	57.587486	40.753674	32.73797	20.170034	12.159364	9.306533	8.367193	6.927252	5.372073	2.431188	4.5044403	2.811484	2.624598	1.9658624	0	513	12.266216	-57.28302	-4490.965	0.0	0.0	0.0	44.85873	142.63054	4.504694	102.45846	-7.53125	-4.2652345	1015.25275	238.95714	61.359764
508.5	251.5	-57.27369	12.264192	67.20503	57.57688	40.753674	32.705853	20.198023	12.1839285	9.32023	8.381069	6.9524875	5.415396	2.440061	4.526236	2.8328102	2.6123905	1.9767236	0	512	12.264192	-57.27369	-4489.7344	0.0	0.0	0.0	44.85158	142.63857	4.420041	102.460526	-7.5312505	-4.273438	1015.2484	238.9742	61.364063
502.5	252.5	-57.332043	12.2659025	67.47033	57.767742	40.834766	32.855732	20.23534	12.200304	9.333925	8.388007	6.9714146	5.4067316	2.440061	4.518971	2.8257015	2.6307018	1.9875847	0	518	12.2659025	-57.332043	-4493.8438	0.0	0.0	0.0	44.887135	142.58244	4.9279585	102.448006	-7.525	-4.2468753	1015.27185	238.89967	61.378124
503.5	252.5	-57.32271	12.263877	67.37558	57.651104	40.788425	32.823612	20.207352	12.167552	9.313381	8.353317	6.920943	5.380738	2.440061	4.497175	2.800821	2.6062868	1.971293	0	517	12.263877	-57.32271	-4492.9844	0.0	0.0	0.0	44.879982	142.59047	4.8433056	102.45007	-7.525	-4.2546873	1015.2672	238.9167	61.38281
504.5	252.5	-57.31337	12.261851	67.337685	57.57688	40.68417	32.75938	20.132717	12.118423	9.251749	8.311689	6.8893976	5.3460793	2.448934	4.442686	2.790158	2.563561	1.9387096	0	516	12.261851	-57.31337	-4492.125	0.0	0.0	0.0	44.87283	142.5985	4.7586527	102.45214	-7.525	-4.2625003	1015.2625	238.93373	61.387497
505.5	252.5	-57.30404	12.259826	67.31873	57.72533	40.82318	32.791496	20.198023	12.216681	9.333925	8.367193	6.933561	5.398067	2.448934	4.533501	2.8363645	2.6307018	1.9767236	0	515	12.259826	-57.30404	-4491.2656	0.0	0.0	0.0	44.86569	142.60652	4.6739993	102.454216	-7.525	-4.2703123	1015.2578	238.95078	61.392185
499.5	253.5	-57.362385	12.261536	67.45138	57.72533	40.846348	32.90926	20.272657	12.208492	9.333925	8.394945	6.9524875	5.415396	2.448934	4.5153384	2.8292558	2.624598	1.971293	0	521	12.261536	-57.362385	-4492.035	0.0	0.0	0.0	44.901245	142.55042	5.181917	102.4417	-7.51875	-4.247266	1015.2847	238.87659	61.402737
500.5	253.5	-57.353054	12.259512	67.45138	57.75714	40.86952	32.941376	20.272657	12.265809	9.38871	8.457387	7.0092683	5.44139	2.457807	4.5516644	2.8683536	2.667324	1.9984457	0	520	12.259512	-57.353054	-4491.547	0.0	0.0	0.0	44.894096	142.55844	5.097264	102.44377	-7.51875	-4.254688	1015.27966	238.89359	61.407814
501.5	253.5	-57.34372	12.257486	67.527176	57.852573	41.066452	33.04843	20.459244	12.405007	9.518824	8.568395	7.1417565	5.5713596	2.4844258	4.667908	2.9607663	2.7466724	2.0418901	0	519	12.257486	-57.34372	-4491.0586	0.0	0.0	0.0	44.886944	142.56645	5.012611	102.44584	-7.51875	-4.2621098	1015.2746	238.91057	61.41289
